Louisville_intype,Louisville_insubtype,Louisville_indate,Louisville_surreason,Louisville_outtype,Louisville_outsubtype,Louisville_outdate,Louisville_animaltype,Louisville_bites,Louisville_petsize,Dallas_Animal Type,Dallas_Animal Breed,Dallas_Intake Type,Dallas_Intake Subtype,Dallas_Intake Date,Dallas_Outcome Type,Dallas_Outcome Subtype,Dallas_Month,Dallas_Year
FOSTER,RETURN,2022-11-10,FOSTER RET,ADOPTION,FOSTER,2022-11-15,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-10,FOSTER,GENERAL,FY2024,FY2023
STRAY,OTC,2022-01-11,STRAY,TNR,CARETAKER,2022-01-13,CAT,N,MED,DOG,MIXED BREED,FOSTER,APPOINT,2022-12-23,ADOPTION,IN FOSTER,FY2024,FY2023
STRAY,OTC,2022-01-17,STRAY,TNR,CARETAKER,2022-01-19,CAT,N,MED,DOG,AUST SHEPHERD,STRAY,WEB,2022-11-10,LOST EXP,OTHER,FY2024,FY2023
CONFISCATE,EVICTION,2022-05-18,STRAY,EUTH,MEDICAL,2022-06-15,DOG,N,LARGE,DOG,SHIH TZU,STRAY,WEB,2022-11-07,LOST EXP,OTHER,FY2024,FY2023
OWNER SUR,FIELD,2022-02-01,EUTH BEHAV,EUTH,REQUESTED,2022-02-16,DOG,N,LARGE,DOG,AM PIT BULL TER,STRAY,WEB,2022-11-10,FOUND EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-05-19,STRAY,TRANSFER,RESCUE GRP,2022-06-04,DOG,N,PUPPY,DOG,YORKSHIRE TERR,STRAY,WEB,2022-11-08,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-05-19,STRAY,TRANSFER,RESCUE GRP,2022-06-04,DOG,N,MED,DOG,PIT BULL,CONFISCATED,QUARANTINE,2022-11-10,EUTHANIZED,SBI,FY2024,FY2023
FOSTER,RETURN,2022-08-22,FOSTER RET,TRANSFER,KHS,2022-08-23,DOG,N,PUPPY,WILDLIFE,,STRAY,WEB,2022-11-10,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-08-17,STRAY,FOSTER,MEDICAL,2022-08-24,DOG,N,SMALL,DOG,PIT BULL,STRAY,WEB,2022-11-06,FOUND EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-05-24,STRAY,FOSTER,TIME/SPACE,2022-05-28,DOG,N,MED,DOG,GERM SHEPHERD,STRAY,WEB,2022-10-24,FOUND EXP,OTHER,FY2024,FY2023
FOSTER,RETURN,2022-08-24,FOSTER RET,TRANSFER,KHS,2022-08-25,DOG,N,PUPPY,BIRD,PIGEON,WILDLIFE,NON-RABIES,2022-11-11,WILDLIFE,TRANSFER,FY2024,FY2023
FOSTER,RETURN,2022-08-02,FOSTER RET,ADOPTION,FOSTER,2022-08-02,DOG,N,MED,DOG,YORKSHIRE TERR,STRAY,WEB,2022-11-10,LOST EXP,OTHER,FY2024,FY2023
STRAY,FIELD,2022-06-02,STRAY,FOSTER,TOO YOUNG,2022-06-07,CAT,N,SMALL,DOG,AM PIT BULL TER,STRAY,WEB,2022-11-10,FOUND EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-08-22,STRAY,FOSTER,TIME/SPACE,2022-09-07,DOG,N,X-LRG,DOG,AUST CATTLE DOG,STRAY,AT LARGE,2022-11-11,RETURNED TO OWNER,FIELD,FY2024,FY2023
FOSTER,RETURN,2022-07-06,FOSTER RET,ADOPTION,WALK IN,2022-07-07,CAT,N,SMALL,DOG,AUST CATTLE DOG,STRAY,CONFINED,2022-11-11,ADOPTION,WESTMORELD,FY2024,FY2023
FOSTER,RETURN,2022-09-08,STRAY,TRANSFER,RESCUE GRP,2022-09-09,DOG,N,SMALL,CAT,DOMESTIC SH,STRAY,WEB,2022-11-05,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-02-01,STRAY,RTO,IN KENNEL,2022-02-02,DOG,N,SMALL,DOG,CHIHUAHUA LH,STRAY,WEB,2022-11-06,LOST EXP,OTHER,FY2024,FY2023
FOSTER,RETURN,2022-01-11,STRAY,ADOPTION,FOSTER,2022-01-11,RABBIT,N,LARGE,DOG,LABRADOR RETR,STRAY,AT LARGE,2022-11-11,EUTHANIZED,HUMANE,FY2024,FY2023
STRAY,FIELD,2022-05-27,STRAY,TRANSFER,RESCUE GRP,2022-06-04,DOG,N,SMALL,DOG,AMER BULLDOG,STRAY,WEB,2022-11-10,LOST EXP,OTHER,FY2024,FY2023
STRAY,FIELD,2022-10-31,STRAY,ADOPTION,WALK IN,2022-12-05,DOG,N,MED,DOG,CHIHUAHUA LH,STRAY,WEB,2022-11-06,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-08-19,STRAY,FOSTER,MEDICAL,2022-08-24,DOG,N,PUPPY,DOG,ROTTWEILER,STRAY,WEB,2022-11-10,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-02-03,STRAY,RTO,IN KENNEL,2022-02-09,DOG,N,MED,DOG,ALASKAN HUSKY,STRAY,WEB,2022-11-10,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-11-01,STRAY,ADOPTION,WALK IN,2022-11-14,DOG,N,X-LRG,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-11,FOSTER,GENERAL,FY2024,FY2023
STRAY,OTC,2022-08-20,STRAY,ADOPTION,PRV ADOPT,2022-09-01,DOG,N,MED,DOG,MIXED BREED,FOSTER,APPOINT,2022-11-16,TRANSFER,MEDICAL,FY2024,FY2023
STRAY,OTC,2022-02-03,STRAY,RTO,IN KENNEL,2022-02-09,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-11,EUTHANIZED,MEDICAL,FY2024,FY2023
STRAY,OTC,2022-09-13,STRAY,RTO,IN KENNEL,2022-09-13,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-11,TRANSFER,UNDERAGE,FY2024,FY2023
STRAY,FIELD,2022-09-20,STRAY,RTO,IN KENNEL,2022-09-27,CAT,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-11,TRANSFER,UNDERAGE,FY2024,FY2023
STRAY,OTC,2022-09-21,STRAY,EUTH,INHUMANE,2022-09-22,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-11,TRANSFER,UNDERAGE,FY2024,FY2023
STRAY,OTC,2022-09-27,STRAY,ADOPTION,WALK IN,2022-10-04,DOG,N,SMALL,DOG,GREAT PYRENEES,STRAY,AT LARGE,2022-11-11,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-10-13,STRAY,FOSTER,MEDICAL,2022-11-23,CAT,N,LARGE,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-11,EUTHANIZED,MEDICAL,FY2024,FY2023
FOSTER,RETURN,2022-12-18,FOSTER RET,ADOPTION,WALK IN,2022-12-24,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-11,TRANSFER,GENERAL,FY2024,FY2023
FOSTER,RETURN,2022-12-14,FOSTER RET,ADOPTION,WALK IN,2022-12-16,CAT,N,KITTN,DOG,AMERICAN STAFF,OWNER SURRENDER,PICK UP,2022-11-11,ADOPTION,ADOPETS,FY2024,FY2023
STRAY,OTC,2022-10-29,STRAY,RTO,IN KENNEL,2022-10-31,DOG,N,LARGE,DOG,MIXED BREED,OWNER SURRENDER,APPOINT,2022-11-11,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-06-07,STRAY,RTO,IN KENNEL,2022-06-18,DOG,N,MED,DOG,GREAT PYRENEES,STRAY,AT LARGE,2022-11-11,TRANSFER,GENERAL,FY2024,FY2023
STRAY,OTC,2022-06-14,STRAY,FOSTER,TOO YOUNG,2022-06-16,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-11,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-06-17,STRAY,TRANSFER,RESCUE GRP,2022-06-24,DOG,N,PUPPY,DOG,SHIH TZU,STRAY,WEB,2022-11-07,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-06-22,STRAY,ADOPTION,INTERNET,2022-07-02,DOG,N,MED,DOG,GERM SH POINT,STRAY,WEB,2022-11-10,FOUND EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-06-25,STRAY,FOSTER,TOO YOUNG,2022-06-25,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-11,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-06-25,STRAY,ADOPTION,PRV ADOPT,2022-07-28,CAT,N,MED,WILDLIFE,RACCOON,WILDLIFE,RABIES,2022-11-11,EUTHANIZED,RABIES EXP,FY2024,FY2023
STRAY,OTC,2022-11-06,STRAY,RTO,IN KENNEL,2022-11-07,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-11,RETURNED TO OWNER,FIELD,FY2024,FY2023
STRAY,OTC,2022-07-25,STRAY,FOSTER,TOO YOUNG,2022-07-26,CAT,N,KITTN,DOG,MIXED BREED,OWNER SURRENDER,APPOINT,2022-11-11,EUTHANIZED,BEHAVIOR,FY2024,FY2023
FOSTER,RETURN,2022-10-19,FOSTER RET,ADOPTION,WALK IN,2022-10-20,CAT,N,KITTN,CAT,DOMESTIC SH,STRAY,AT LARGE,2022-11-11,ADOPTION,WESTMORELD,FY2024,FY2023
FOSTER,RETURN,2022-09-22,FOSTER RET,ADOPTION,WALK IN,2022-09-22,CAT,N,KITTN,CAT,DOMESTIC SH,STRAY,AT LARGE,2022-11-11,FOSTER,GENERAL,FY2024,FY2023
FOSTER,RETURN,2022-01-26,FOSTER RET,ADOPTION,WALK IN,2022-01-26,CAT,N,KITTN,CAT,DOMESTIC SH,FOSTER,APPOINT,2022-12-02,ADOPTION,IN FOSTER,FY2024,FY2023
STRAY,OTC,2022-04-21,STRAY,RTO,IN KENNEL,2022-04-22,DOG,N,MED,CAT,DOMESTIC SH,FOSTER,APPOINT,2022-12-02,ADOPTION,IN FOSTER,FY2024,FY2023
FOSTER,RETURN,2022-09-30,STRAY,TRANSFER,RESCUE GRP,2022-10-02,DOG,N,X-LRG,CAT,DOMESTIC SH,STRAY,AT LARGE,2022-11-11,FOSTER,GENERAL,FY2024,FY2023
STRAY,OTC,2022-10-04,STRAY,TRANSFER,RESCUE GRP,2022-10-15,DOG,N,LARGE,DOG,PIT BULL,STRAY,CONFINED,2022-11-11,EUTHANIZED,MEDICAL,FY2024,FY2023
STRAY,OTC,2022-08-23,STRAY,RTO,IN KENNEL,2022-08-25,DOG,N,SMALL,DOG,PIT BULL,STRAY,CONFINED,2022-11-11,EUTHANIZED,SPACE,FY2024,FY2023
FOSTER,RETURN,2022-12-31,FOSTER RET,ADOPTION,WALK IN,2022-12-31,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-11,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-08-26,STRAY,FOSTER,TOO YOUNG,2022-09-07,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-11,EUTHANIZED,SPACE,FY2024,FY2023
FOSTER,RETURN,2022-10-31,FOSTER RET,ADOPTION,FOSTER,2022-10-31,DOG,N,PUPPY,CAT,DOMESTIC MH,STRAY,CONFINED,2022-11-11,FOSTER,SHORT TERM,FY2024,FY2023
FOSTER,RETURN,2022-10-10,FOSTER RET,ADOPTION,PROMO,2022-10-15,CAT,N,KITTN,CAT,DOMESTIC MH,FOSTER,APPOINT,2022-11-12,FOSTER,UNDERAGE,FY2024,FY2023
STRAY,OTC,2022-06-10,STRAY,ADOPTION,WALK IN,2022-06-18,CAT,N,MED,CAT,DOMESTIC MH,FOSTER,APPOINT,2022-11-18,FOSTER,UNDERAGE,FY2024,FY2023
STRAY,OTC,2022-10-12,STRAY,ADOPTION,FRIEND,2022-10-19,DOG,N,MED,CAT,DOMESTIC MH,STRAY,WEB,2022-10-25,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-08-30,STRAY,FOSTER,VACATION,2022-09-05,DOG,N,LARGE,DOG,YORKSHIRE TERR,STRAY,WEB,2022-11-09,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-08-31,STRAY,ADOPTION,WALK IN,2022-09-13,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-11,ADOPTION,WESTMORELD,FY2024,FY2023
OWNER SUR,OTC,2022-11-02,CHILD PROB,ADOPTION,WALK IN,2023-01-08,DOG,Y,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-11,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-05-16,STRAY,ADOPTION,WALK IN,2022-05-28,DOG,N,MED,DOG,ALASKAN HUSKY,STRAY,AT LARGE,2022-11-11,DISPOSAL,DISPOSAL,FY2024,FY2023
OWNER SUR,FIELD,2022-05-18,UNKNOWN,ADOPTION,INTERNET,2022-05-29,CAT,N,MED,DOG,LABRADOR RETR,STRAY,WEB,2022-11-08,LOST EXP,OTHER,FY2024,FY2023
OWNER SUR,FIELD,2022-05-18,UNKNOWN,ADOPTION,WALK IN,2022-05-21,CAT,N,MED,DOG,ALASKAN HUSKY,STRAY,WEB,2022-11-11,LOST EXP,OTHER,FY2024,FY2023
FOSTER,RETURN,2022-06-05,STRAY,TRANSFER,RESCUE GRP,2022-06-06,RABBIT,Y,SMALL,DOG,FRENCH BULLDOG,STRAY,WEB,2022-11-08,LOST EXP,OTHER,FY2024,FY2023
FOSTER,RETURN,2022-06-04,STRAY,TRANSFER,RESCUE GRP,2022-06-05,RABBIT,Y,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-11,EUTHANIZED,SPACE,FY2024,FY2023
STRAY,OTC,2022-05-20,STRAY,FOSTER,STRAY,2022-05-26,RABBIT,Y,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-11,EUTHANIZED,SPACE,FY2024,FY2023
FOSTER,RETURN,2022-06-17,FOSTER RET,ADOPTION,FOSTER,2022-06-17,DOG,N,SMALL,WILDLIFE,RACCOON,WILDLIFE,RABIES,2022-11-11,EUTHANIZED,HUMANE,FY2024,FY2023
STRAY,OTC,2022-05-27,STRAY,FOSTER,VACATION,2022-06-08,DOG,N,SMALL,DOG,AUST CATTLE DOG,STRAY,AT LARGE,2022-11-11,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-10-08,STRAY,RTO,IN KENNEL,2022-10-08,DOG,N,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-11,ADOPTION,WESTMORELD,FY2024,FY2023
DISPOSAL,OWNER,2022-05-31,DOA,DISPOSAL,DEAD ARRIV,2022-05-31,CAT,N,SMALL,CAT,DOMESTIC SH,STRAY,AT LARGE,2022-11-11,EUTHANIZED,HUMANE,FY2024,FY2023
STRAY,FIELD,2022-06-02,STRAY,ADOPTION,FACEBOOK,2022-07-02,DOG,N,MED,DOG,CHIHUAHUA LH,STRAY,WEB,2022-11-06,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-06-11,STRAY,TRANSFER,RESCUE GRP,2022-06-18,DOG,N,MED,DOG,BEAGLE,STRAY,WEB,2022-11-11,FOUND EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-09-19,STRAY,RTO,IN KENNEL,2022-10-05,DOG,N,LARGE,DOG,BORDER COLLIE,STRAY,WEB,2022-11-08,FOUND EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-10-05,STRAY,RTO,IN KENNEL,2022-10-07,DOG,N,MED,CAT,DOMESTIC MH,STRAY,CONFINED,2022-11-11,FOSTER,UNDERAGE,FY2024,FY2023
FOSTER,RETURN,2022-11-02,STRAY,TRANSFER,RESCUE GRP,2022-11-06,DOG,N,X-LRG,CAT,DOMESTIC MH,FOSTER,APPOINT,2022-11-18,FOSTER,UNDERAGE,FY2024,FY2023
CONFISCATE,POLICE,2022-06-14,UNKNOWN,RTO,IN KENNEL,2022-06-16,CAT,N,SMALL,CAT,DOMESTIC MH,FOSTER,APPOINT,2022-11-15,FOSTER,UNDERAGE,FY2024,FY2023
STRAY,OTC,2022-06-14,STRAY,RTO,IN KENNEL,2022-06-16,DOG,N,LARGE,CAT,DOMESTIC MH,FOSTER,APPOINT,2022-11-30,FOSTER,UNDERAGE,FY2024,FY2023
STRAY,OTC,2022-10-08,STRAY,FOSTER,TOO YOUNG,2022-10-10,CAT,N,KITTN,CAT,DOMESTIC MH,FOSTER,APPOINT,2022-11-24,FOSTER,UNDERAGE,FY2024,FY2023
FOSTER,RETURN,2022-07-27,FOSTER RET,ADOPTION,WALK IN,2022-07-29,CAT,N,KITTN,CAT,DOMESTIC MH,FOSTER,APPOINT,2022-11-26,FOSTER,UNDERAGE,FY2024,FY2023
STRAY,OTC,2022-06-15,STRAY,TRANSFER,RESCUE GRP,2022-06-30,DOG,N,MED,CAT,DOMESTIC MH,FOSTER,APPOINT,2022-12-17,FOSTER,UNDERAGE,FY2024,FY2023
STRAY,OTC,2022-06-18,STRAY,FOSTER,MEDICAL,2022-07-12,CAT,N,MED,CAT,DOMESTIC MH,FOSTER,APPOINT,2022-12-17,FOSTER,UNDERAGE,FY2024,FY2023
FOSTER,RETURN,2022-07-08,STRAY,TRANSFER,RESCUE GRP,2022-07-09,DOG,N,MED,CAT,DOMESTIC MH,FOSTER,APPOINT,2022-11-24,FOSTER,UNDERAGE,FY2024,FY2023
STRAY,OTC,2022-06-24,STRAY,FOSTER,TOO YOUNG,2022-06-27,CAT,N,KITTN,CAT,DOMESTIC MH,FOSTER,APPOINT,2022-11-26,FOSTER,UNDERAGE,FY2024,FY2023
STRAY,OTC,2022-06-27,STRAY,RTO,IN KENNEL,2022-06-28,DOG,N,PUPPY,CAT,DOMESTIC MH,FOSTER,APPOINT,2022-11-30,FOSTER,UNDERAGE,FY2024,FY2023
FOSTER,RETURN,2022-07-04,FOSTER RET,ADOPTION,INTERNET,2022-07-06,DOG,N,PUPPY,CAT,DOMESTIC MH,FOSTER,APPOINT,2022-11-15,FOSTER,UNDERAGE,FY2024,FY2023
STRAY,OTC,2022-05-18,STRAY,FOSTER,STRAY,2022-05-27,CAT,N,KITTN,CAT,DOMESTIC MH,FOSTER,APPOINT,2022-11-18,FOSTER,UNDERAGE,FY2024,FY2023
FOSTER,RETURN,2022-06-17,FOSTER RET,ADOPTION,WEB METRO,2022-06-21,CAT,N,KITTN,CAT,DOMESTIC MH,STRAY,CONFINED,2022-11-11,FOSTER,UNDERAGE,FY2024,FY2023
OWNER SUR,FIELD,2022-05-18,UNKNOWN,FOSTER,TOO YOUNG,2022-05-20,CAT,N,KITTN,CAT,DOMESTIC MH,STRAY,CONFINED,2022-11-11,FOSTER,UNDERAGE,FY2024,FY2023
STRAY,FIELD,2022-05-19,STRAY,ADOPTION,WALK IN,2022-06-11,DOG,N,MED,CAT,DOMESTIC MH,FOSTER,APPOINT,2022-11-18,FOSTER,UNDERAGE,FY2024,FY2023
OWNER SUR,RETURN 30,2022-11-07,RESPONSIBL,FOSTER,TIME/SPACE,2023-01-10,DOG,N,MED,CAT,DOMESTIC MH,FOSTER,APPOINT,2022-11-15,FOSTER,UNDERAGE,FY2024,FY2023
STRAY,OTC,2022-06-25,STRAY,FOSTER,TOO YOUNG,2022-06-25,CAT,N,KITTN,CAT,DOMESTIC MH,FOSTER,APPOINT,2022-11-26,FOSTER,UNDERAGE,FY2024,FY2023
STRAY,OTC,2022-06-29,STRAY,FOSTER,STRAY,2022-07-04,DOG,N,PUPPY,CAT,DOMESTIC MH,FOSTER,APPOINT,2022-11-30,FOSTER,UNDERAGE,FY2024,FY2023
RETURN,ADOPTION,2022-09-12,PETMEDICAL,ADOPTION,WALK IN,2022-09-14,DOG,N,SMALL,CAT,DOMESTIC MH,FOSTER,APPOINT,2022-11-24,FOSTER,UNDERAGE,FY2024,FY2023
STRAY,FIELD,2022-07-05,STRAY,EUTH,BEHAV HIST,2022-07-19,DOG,N,LARGE,CAT,DOMESTIC MH,FOSTER,APPOINT,2022-12-17,FOSTER,UNDERAGE,FY2024,FY2023
FOSTER,RETURN,2022-05-27,FOSTER RET,ADOPTION,FOSTER,2022-05-28,DOG,Y,PUPPY,DOG,PIT BULL,STRAY,WEB,2022-11-11,FOUND EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-06-02,STRAY,ADOPTION,WALK IN,2022-06-11,DOG,N,MED,DOG,SIBERIAN HUSKY,STRAY,WEB,2022-11-11,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-11-04,STRAY,EUTH,INHUMANE,2022-11-04,CAT,Y,KITTN,DOG,FRENCH BULLDOG,STRAY,WEB,2022-11-08,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-06-15,STRAY,ADOPTION,PROMO,2022-07-07,DOG,N,MED,DOG,MIXED BREED,STRAY,CONFINED,2022-11-12,EUTHANIZED,BEHAVIOR,FY2024,FY2023
STRAY,OTC,2022-06-21,STRAY,RTO,IN KENNEL,2022-06-21,DOG,N,LARGE,DOG,ROTTWEILER,STRAY,WEB,2022-11-11,LOST EXP,OTHER,FY2024,FY2023
FOSTER,RETURN,2022-08-04,FOSTER RET,ADOPTION,WALK IN,2022-08-08,CAT,N,KITTN,DOG,PIT BULL,STRAY,AT LARGE,2022-11-12,RETURNED TO OWNER,FIELD,FY2024,FY2023
STRAY,OTC,2022-10-15,STRAY,TRANSFER,KHS,2022-10-17,CAT,N,KITTN,WILDLIFE,RACCOON,WILDLIFE,RABIES,2022-11-12,WILDLIFE,RELEASE,FY2024,FY2023
FOSTER,RETURN,2022-08-18,FOSTER RET,ADOPTION,INTERNET,2022-08-19,CAT,N,KITTN,DOG,PIT BULL,OWNER SURRENDER,PICK UP,2022-11-12,EUTHANIZED,BEHAVIOR,FY2024,FY2023
RETURN,ADOPTION,2022-08-19,RESPONSIBL,ADOPTION,WALK IN,2022-08-20,CAT,N,KITTN,CAT,DOMESTIC MH,STRAY,WEB,2022-11-11,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-10-20,STRAY,FOSTER,TOO YOUNG,2022-10-26,DOG,N,PUPPY,CAT,DOMESTIC SH,STRAY,WEB,2022-11-09,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-10-20,STRAY,FOSTER,VACATION,2022-11-05,DOG,N,MED,DOG,LABRADOR RETR,STRAY,AT LARGE,2022-11-12,RETURNED TO OWNER,FIELD,FY2024,FY2023
OWNER SUR,OTC,2022-12-09,RESPONSIBL,FOSTER,VACATION,2023-01-03,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-12,EUTHANIZED,SPACE,FY2024,FY2023
FOSTER,RETURN,2022-07-28,FOSTER RET,RTO,IN FIELD,2022-07-28,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-12,EUTHANIZED,BEHAVIOR,FY2024,FY2023
STRAY,OTC,2022-11-04,STRAY,FOSTER,TIME/SPACE,2022-12-29,DOG,Y,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-12,FOSTER,SAME DAY,FY2024,FY2023
CONFISCATE,POLICE,2022-10-18,STRAY,TRANSFER,RESCUE GRP,2022-11-03,DOG,N,PUPPY,DOG,MIXED BREED,FOSTER,URGENT,2022-12-19,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-06-13,STRAY,RTO,IN KENNEL,2022-06-13,DOG,N,LARGE,DOG,AM PIT BULL TER,STRAY,WEB,2022-11-09,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-10-19,STRAY,TRANSFER,KHS,2022-11-08,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-12,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-06-13,STRAY,ADOPTION,PRV ADOPT,2022-06-25,CAT,N,KITTN,DOG,MIXED BREED,OWNER SURRENDER,APPOINT,2022-11-12,EUTHANIZED,SPACE,FY2024,FY2023
FOSTER,RETURN,2022-12-30,FOSTER RET,ADOPTION,FOSTER,2022-12-30,DOG,N,PUPPY,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-12,EUTHANIZED,BEHAVIOR,FY2024,FY2023
STRAY,OTC,2022-06-14,STRAY,TRANSFER,RESCUE GRP,2022-06-22,DOG,N,MED,DOG,CANE CORSO,STRAY,AT LARGE,2022-11-12,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-06-14,STRAY,FOSTER,TOO YOUNG,2022-06-19,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-12,EUTHANIZED,SPACE,FY2024,FY2023
FOSTER,RETURN,2022-08-29,FOSTER RET,ADOPTION,WALK IN,2022-08-30,DOG,N,PUPPY,DOG,MIXED BREED,STRAY,CONFINED,2022-11-12,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
FOSTER,RETURN,2022-11-13,FOSTER RET,ADOPTION,WALK IN,2022-11-26,DOG,N,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-12,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-06-14,STRAY,ADOPTION,WALK IN,2022-06-25,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-12,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-10-22,STRAY,FOSTER,VACATION,2022-11-05,DOG,N,LARGE,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-12,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
OWNER SUR,FIELD,2022-06-19,UNKNOWN,TRANSFER,KHS,2022-06-19,DOG,N,PUPPY,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-12,EUTHANIZED,HUMANE,FY2024,FY2023
STRAY,OTC,2022-08-23,STRAY,ADOPTION,WALK IN,2022-09-21,DOG,N,X-LRG,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-12,EUTHANIZED,SPACE,FY2024,FY2023
CONFISCATE,EVICTION,2022-08-24,UNKNOWN,RTO,IN KENNEL,2022-08-24,CAT,N,LARGE,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-12,EUTHANIZED,SPACE,FY2024,FY2023
STRAY,OTC,2022-06-21,STRAY,RTO,IN KENNEL,2022-06-23,CAT,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-12,FOSTER,SAME DAY,FY2024,FY2023
FOSTER,RETURN,2022-12-03,FOSTER RET,FOSTER,VACATION,2022-12-10,DOG,N,LARGE,DOG,MIXED BREED,FOSTER,APPOINT,2022-12-21,EUTHANIZED,SPACE,FY2024,FY2023
STRAY,FIELD,2022-08-26,STRAY,DISPOSAL,NECROPSY,2022-08-31,CAT,N,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-12,EUTHANIZED,MEDICAL,FY2024,FY2023
STRAY,OTC,2022-10-24,STRAY,RTO,IN KENNEL,2022-10-24,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-12,EUTHANIZED,BEHAVIOR,FY2024,FY2023
STRAY,FIELD,2022-10-25,STRAY,ADOPTION,WALK IN,2022-11-21,DOG,N,MED,CAT,DOMESTIC SH,OWNER SURRENDER,APPOINT,2022-11-12,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-08-31,WILDLIFE,DISPOSAL,DEAD ARRIV,2022-08-31,OTHER,Y,SMALL,WILDLIFE,OPOSSUM,WILDLIFE,NON-RABIES,2022-11-12,WILDLIFE,RELEASE,FY2024,FY2023
